# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.597492 0.9883 -0.074711 -0.071095 0.049497 14.0070 17.2602 0.82246 0.000000 1.36247
100 0.5000 -2.566207 0.9720 0.098624 -0.143678 0.030675 14.0015 17.2750 0.82690 0.000000 1.36141
200 1.0000 -2.587842 0.9919 -0.050123 -0.073989 -0.184576 13.9967 17.2907 0.82911 0.000000 1.36048
300 1.5000 -2.599605 1.0155 -0.010949 -0.277863 0.567721 13.9928 17.3030 0.79487 0.000000 1.35971
400 2.0000 -2.593832 0.9981 -0.187504 -0.040078 -0.210039 13.9923 17.3169 0.77916 0.000000 1.35962
500 2.5000 -2.595486 1.0027 -0.286587 0.167248 0.026453 13.9914 17.3301 0.83384 0.000000 1.35943
600 3.0000 -2.576018 0.9795 0.143550 0.026903 -0.158414 13.9919 17.3402 0.82941 0.000000 1.35954
700 3.5000 -2.569437 0.9829 -0.002034 -0.196243 -0.319537 13.9863 17.3535 0.79143 0.000000 1.35844
800 4.0000 -2.540953 0.9876 -0.005336 -0.073494 0.048583 13.9822 17.3686 0.93629 0.000000 1.35765
900 4.5000 -2.565652 1.0058 0.014691 0.172721 0.063473 13.9830 17.3845 0.91211 0.000000 1.35781
1000 5.0000 -2.569877 0.9942 -0.044295 -0.086370 -0.125067 13.9808 17.3994 0.92342 0.000000 1.35737
1100 5.5000 -2.533074 0.9971 -0.207468 -0.018605 -0.075998 13.9777 17.4144 0.95268 0.000000 1.35677
1200 6.0000 -2.598821 0.9938 -0.095481 -0.283671 -0.226122 13.9705 17.4274 0.97353 0.000000 1.35538
1300 6.5000 -2.569885 1.0163 -0.084452 0.036787 -0.361576 13.9682 17.4414 0.99104 0.000000 1.35493
1400 7.0000 -2.556142 1.0105 0.009113 0.154588 0.231580 13.9701 17.4542 0.97691 0.000000 1.35531
1500 7.5000 -2.569400 1.0257 0.159122 -0.140239 -0.298039 13.9693 17.4706 0.90162 0.000000 1.35514
1600 8.0000 -2.578414 0.9918 -0.102426 -0.226931 -0.282170 13.9662 17.4792 0.94429 0.000000 1.35454
1700 8.5000 -2.546681 0.9705 0.047935 -0.344326 -0.285890 13.9562 17.4856 0.91674 0.000000 1.35261
1800 9.0000 -2.555560 0.9951 -0.254412 -0.245809 -0.442220 13.9479 17.4962 0.89879 0.000000 1.35100
1900 9.5000 -2.555621 0.9941 -0.295094 -0.254729 0.040769 13.9462 17.5096 0.90841 0.000000 1.35068
2000 10.0000 -2.551090 0.9964 -0.025938 -0.062278 -0.043768 13.9415 17.5263 0.95713 0.000000 1.34975
2100 10.5000 -2.546246 0.9920 0.210315 -0.228570 -0.527313 13.9363 17.5320 0.95504 0.000000 1.34875
2200 11.0000 -2.573827 0.9934 -0.299645 -0.308604 -0.582143 13.9325 17.5440 0.89348 0.000000 1.34802
2300 11.5000 -2.565165 0.9964 0.027922 0.043207 0.246740 13.9271 17.5576 0.86456 0.000000 1.34697
2400 12.0000 -2.567391 0.9804 -0.065551 -0.004734 -0.241209 13.9183 17.5667 0.90672 0.000000 1.34527
2500 12.5000 -2.552238 1.0151 0.055164 -0.141891 -0.061188 13.9119 17.5759 0.91812 0.000000 1.34403
2600 13.0000 -2.538867 1.0158 0.174195 -0.056255 -0.201482 13.9127 17.5922 0.86962 0.000000 1.34418
2700 13.5000 -2.526738 1.0041 -0.083863 0.016962 0.120540 13.9143 17.6070 0.90930 0.000000 1.34451
2800 14.0000 -2.519558 0.9785 -0.036142 -0.219627 -0.144283 13.9127 17.6190 0.88973 0.000000 1.34420
2900 14.5000 -2.536543 1.0037 -0.088962 -0.134716 0.052262 13.9105 17.6320 0.91552 0.000000 1.34376
3000 15.0000 -2.535096 0.9924 -0.000184 -0.291622 0.028889 13.9038 17.6429 0.91563 0.000000 1.34246
3100 15.5000 -2.565928 0.9819 -0.160326 -0.244361 -0.681082 13.8930 17.6482 0.86308 0.000000 1.34038
3200 16.0000 -2.579988 0.9986 -0.285203 -0.259526 -0.307602 13.8877 17.6578 0.84497 0.000000 1.33936
3300 16.5000 -2.561726 1.0043 -0.032154 -0.146695 -0.383262 13.8803 17.6716 0.84317 0.000000 1.33794
3400 17.0000 -2.582024 1.0028 -0.140613 -0.067832 -0.199885 13.8762 17.6828 0.81745 0.000000 1.33715
3500 17.5000 -2.547038 0.9632 -0.083927 -0.322777 0.274183 13.8748 17.6957 0.86019 0.000000 1.33687
3600 18.0000 -2.552205 1.0039 -0.184811 -0.089903 -0.335687 13.8693 17.7059 0.91096 0.000000 1.33582
3700 18.5000 -2.547936 1.0027 -0.160757 -0.031734 0.064383 13.8667 17.7215 0.85264 0.000000 1.33532
3800 19.0000 -2.540377 0.9892 0.181255 -0.185090 -0.049081 13.8626 17.7353 0.84458 0.000000 1.33452
3900 19.5000 -2.537030 1.0153 0.007674 -0.058446 0.076391 13.8564 17.7481 0.86218 0.000000 1.33334
4000 20.0000 -2.522978 1.0292 0.275560 -0.283101 0.174588 13.8533 17.7588 0.81387 0.000000 1.33273
4100 20.5000 -2.537802 1.0119 -0.083950 -0.042270 -0.307648 13.8536 17.7738 0.87164 0.000000 1.33278
4200 21.0000 -2.549297 0.9950 -0.242555 -0.047114 -0.111516 13.8495 17.7829 0.90982 0.000000 1.33200
4300 21.5000 -2.571663 1.0049 -0.239182 -0.456488 -0.275643 13.8431 17.7963 0.87728 0.000000 1.33077
4400 22.0000 -2.599359 1.0017 -0.272344 -0.185966 -0.589383 13.8356 17.8060 0.77782 0.000000 1.32933
4500 22.5000 -2.605626 0.9660 -0.334098 -0.368617 -0.312806 13.8270 17.8144 0.88537 0.000000 1.32769
4600 23.0000 -2.608723 0.9944 -0.118630 -0.207154 -0.397618 13.8165 17.8220 0.84570 0.000000 1.32566
4700 23.5000 -2.559663 0.9579 0.009576 -0.085494 0.246336 13.8103 17.8367 0.87871 0.000000 1.32447
4800 24.0000 -2.592900 0.9930 -0.344935 -0.352272 -0.315942 13.8035 17.8520 0.86919 0.000000 1.32318
4900 24.5000 -2.546693 0.9612 0.246203 0.054851 0.103521 13.7963 17.8634 0.81914 0.000000 1.32180
5000 25.0000 -2.603780 1.0017 -0.522642 -0.292986 -0.508849 13.7904 17.8752 0.85251 0.000000 1.32066
5100 25.5000 -2.591501 0.9900 -0.093720 -0.046486 -0.319014 13.7842 17.8803 0.90287 0.000000 1.31948
5200 26.0000 -2.592452 1.0132 0.041898 0.270895 -0.290177 13.7830 17.8906 0.85782 0.000000 1.31924
5300 26.5000 -2.589487 1.0251 -0.178144 -0.281578 -0.273061 13.7857 17.8986 0.89565 0.000000 1.31975
5400 27.0000 -2.554715 1.0139 0.020830 0.091295 -0.286516 13.7857 17.9103 0.88987 0.000000 1.31976
5500 27.5000 -2.537036 1.0095 0.015134 -0.031026 -0.138309 13.7899 17.9207 0.89030 0.000000 1.32056
5600 28.0000 -2.564830 1.0208 -0.279581 -0.100369 -0.015122 13.7841 17.9348 0.87929 0.000000 1.31946
5700 28.5000 -2.542218 1.0106 0.031762 -0.151969 -0.270710 13.7808 17.9430 0.84232 0.000000 1.31882
5800 29.0000 -2.535152 1.0096 0.193285 -0.081820 -0.170234 13.7817 17.9555 0.84831 0.000000 1.31899
5900 29.5000 -2.522325 1.0235 0.065028 0.016136 -0.326881 13.7820 17.9707 0.84782 0.000000 1.31906
6000 30.0000 -2.531557 1.0031 -0.492866 -0.034701 -0.307420 13.7819 17.9841 0.85236 0.000000 1.31904
6100 30.5000 -2.522197 1.0154 0.012050 -0.021761 -0.066990 13.7775 17.9985 0.84350 0.000000 1.31819
6200 31.0000 -2.534902 1.0069 -0.191990 -0.131201 -0.117597 13.7718 18.0131 0.87348 0.000000 1.31711
6300 31.5000 -2.498165 0.9813 -0.069886 -0.157136 -0.296595 13.7691 18.0261 0.84696 0.000000 1.31658
6400 32.0000 -2.564654 1.0291 -0.235483 -0.364029 -0.341881 13.7624 18.0402 0.80187 0.000000 1.31531
6500 32.5000 -2.575092 1.0103 -0.410836 -0.214890 -0.063483 13.7532 18.0511 0.81172 0.000000 1.31354
6600 33.0000 -2.550248 0.9945 -0.105741 -0.320208 -0.217525 13.7438 18.0633 0.83851 0.000000 1.31176
