# step time Epot/N T Pxx Pyy Pzz Lx Lz gap comF areaperlipid
0 0.0000 -2.600151 0.9870 -0.063540 -0.113168 -0.028569 14.0070 17.2600 0.82192 0.000000 1.36247
100 0.5000 -2.600625 0.9845 0.160180 -0.449155 -0.129016 14.0013 17.2595 0.94188 0.000000 1.36136
200 1.0000 -2.595323 0.9795 -0.143536 -0.085293 0.063255 14.0008 17.2597 0.94568 0.000000 1.36128
300 1.5000 -2.571449 1.0022 0.048887 0.153390 0.110889 14.0040 17.2615 0.98323 0.000000 1.36189
400 2.0000 -2.551747 1.0007 -0.006649 0.319255 0.407209 14.0120 17.2716 0.98353 0.000000 1.36344
500 2.5000 -2.547809 1.0040 0.093063 0.089201 -0.261665 14.0166 17.2702 1.00530 0.000000 1.36435
600 3.0000 -2.540925 1.0099 0.172952 -0.047205 0.153140 14.0160 17.2749 0.96754 0.000000 1.36423
700 3.5000 -2.495982 1.0225 0.100704 0.214567 0.215221 14.0266 17.2855 0.98248 0.000000 1.36629
800 4.0000 -2.506738 1.0028 0.207421 -0.052603 0.070859 14.0338 17.2849 0.95339 0.000000 1.36769
900 4.5000 -2.542603 1.0024 -0.229537 0.060363 -0.017906 14.0324 17.2787 0.91644 0.000000 1.36743
1000 5.0000 -2.563456 1.0131 -0.313504 0.274157 0.346688 14.0274 17.2786 0.95722 0.000000 1.36645
1100 5.5000 -2.556056 1.0027 -0.104460 -0.125352 -0.173568 14.0248 17.2771 0.92294 0.000000 1.36594
1200 6.0000 -2.579550 1.0004 0.024657 -0.042756 -0.342470 14.0247 17.2736 0.96353 0.000000 1.36592
1300 6.5000 -2.588773 0.9843 -0.117536 -0.185517 -0.035114 14.0279 17.2672 1.01870 0.000000 1.36654
1400 7.0000 -2.621739 0.9840 0.138234 -0.251102 0.080108 14.0184 17.2567 1.01775 0.000000 1.36469
1500 7.5000 -2.606988 0.9778 -0.004264 -0.030931 -0.097384 14.0117 17.2488 0.93511 0.000000 1.36338
1600 8.0000 -2.622000 0.9950 0.017779 -0.263895 -0.251661 14.0050 17.2419 0.87126 0.000000 1.36209
1700 8.5000 -2.601106 0.9770 -0.038764 0.012550 0.075043 14.0004 17.2319 0.92751 0.000000 1.36118
1800 9.0000 -2.619674 0.9845 -0.293230 -0.153875 0.216378 13.9943 17.2302 0.89529 0.000000 1.36000
1900 9.5000 -2.630694 0.9935 -0.186400 0.160721 -0.012772 13.9902 17.2216 0.87166 0.000000 1.35921
2000 10.0000 -2.601356 1.0045 0.279785 -0.087955 0.450177 13.9899 17.2275 0.78253 0.000000 1.35915
2100 10.5000 -2.565916 0.9916 0.237873 0.235397 0.136202 13.9969 17.2338 0.79619 0.000000 1.36051
2200 11.0000 -2.572410 1.0028 0.145075 0.169030 0.108636 14.0049 17.2332 0.84386 0.000000 1.36206
2300 11.5000 -2.568683 1.0257 0.131942 -0.011814 0.424566 14.0116 17.2417 0.84533 0.000000 1.36336
2400 12.0000 -2.573887 1.0049 0.089937 -0.064411 -0.084263 14.0158 17.2429 0.86906 0.000000 1.36419
2500 12.5000 -2.582761 0.9892 0.021991 -0.002788 -0.225387 14.0138 17.2460 0.89484 0.000000 1.36380
2600 13.0000 -2.595578 0.9901 -0.038779 0.185449 -0.347707 14.0139 17.2478 0.88591 0.000000 1.36382
2700 13.5000 -2.593314 0.9805 -0.209054 -0.045950 -0.157542 14.0139 17.2424 0.85044 0.000000 1.36381
2800 14.0000 -2.609852 0.9661 0.125398 -0.035153 0.122110 14.0070 17.2381 0.84066 0.000000 1.36247
2900 14.5000 -2.613139 0.9869 -0.111177 0.089319 -0.207464 14.0038 17.2323 0.78907 0.000000 1.36185
3000 15.0000 -2.575411 0.9948 0.164521 0.022223 0.109606 14.0083 17.2292 0.82591 0.000000 1.36273
3100 15.5000 -2.582786 0.9978 0.226843 -0.263008 -0.020286 14.0073 17.2269 0.84118 0.000000 1.36253
3200 16.0000 -2.612549 1.0088 -0.117672 -0.396947 -0.011039 14.0041 17.2316 0.85199 0.000000 1.36190
3300 16.5000 -2.606560 0.9698 0.029680 -0.017449 -0.017977 14.0017 17.2367 0.85588 0.000000 1.36144
